alias,normalized_alias,entity_id,ambiguity_count,resolution_status
心不相应行,心不相应行,ent_620890820932,1,unique_alias
心不相應行,心不相应行,ent_620890820932,1,unique_alias
心不相应行法,心不相应行法,ent_2a10e62da07f,1,unique_alias
心不相應行法,心不相应行法,ent_2a10e62da07f,1,unique_alias
心乘,心乘,ent_94a44336f2c1,1,unique_alias
心住三昧,心住三昧,ent_ea51f9cd716a,1,unique_alias
心佛,心佛,ent_5412b894eed5,1,unique_alias
心佛及众生是三无差别,心佛及众生是三无差别,ent_5b02da798dd6,1,unique_alias
心佛及眾生是三無差別,心佛及众生是三无差别,ent_5b02da798dd6,1,unique_alias
心作喜,心作喜,ent_860649e72ad8,1,unique_alias
心作摄,心作摄,ent_b93a258d2c46,1,unique_alias
心作攝,心作摄,ent_b93a258d2c46,1,unique_alias
心作解脫,心作解脱,ent_1b947639571c,1,unique_alias
心作解脱,心作解脱,ent_1b947639571c,1,unique_alias
心光常护益,心光常护益,ent_975889501339,1,unique_alias
心光常護益,心光常护益,ent_975889501339,1,unique_alias
心冰,心冰,ent_73e9c86176a2,1,unique_alias
心出家,心出家,ent_a957ba6d4b55,1,unique_alias
心华,心华,ent_f86c31ed273d,1,unique_alias
心華,心华,ent_f86c31ed273d,1,unique_alias
心即法,心即法,ent_6245fdf61719,1,unique_alias
心咒,心咒,ent_6a8436d5bf3a,1,unique_alias
心喜瑞,心喜瑞,ent_ef6aba06d1b1,1,unique_alias
心器,心器,ent_79a3fe520558,1,unique_alias
心固,心固,ent_7d2ec831f628,1,unique_alias
心固法师,心固法师,ent_0412b2e40b94,1,unique_alias
心固法師,心固法师,ent_0412b2e40b94,1,unique_alias
心地,心地,ent_c342084ae515,1,unique_alias
心地觀經,心地观经,ent_e4f63245ca06,1,unique_alias
心地观经,心地观经,ent_e4f63245ca06,1,unique_alias
心城,心城,ent_acfd92f13008,1,unique_alias
心塔,心塔,ent_7a7d2bb8ab46,1,unique_alias
心多欢喜益,心多欢喜益,ent_e6fa39f6a1bf,1,unique_alias
心多歡喜益,心多欢喜益,ent_e6fa39f6a1bf,1,unique_alias
心宗,心宗,ent_16282e3468c3,1,unique_alias
心定,心定,ent_ceac32de9ffe,1,unique_alias
心定和尚,心定和尚,ent_ceac32de9ffe,1,unique_alias
心定法师,心定法师,ent_ceac32de9ffe,1,unique_alias
心定法師,心定法师,ent_ceac32de9ffe,1,unique_alias
心寂静,心寂静,ent_6bffaaf304f4,1,unique_alias
心寂靜,心寂静,ent_6bffaaf304f4,1,unique_alias
心师,心师,ent_199fe41f02ef,1,unique_alias
心師,心师,ent_199fe41f02ef,1,unique_alias
心平法师,心平法师,ent_d7244a01d0ba,1,unique_alias
心平法師,心平法师,ent_d7244a01d0ba,1,unique_alias
心平等根,心平等根,ent_02ffe75c32cb,1,unique_alias
心心数,心心数,ent_baabbe7ea5ce,1,unique_alias
心心數,心心数,ent_baabbe7ea5ce,1,unique_alias
心念不空过,心念不空过,ent_be4a6fa2e110,1,unique_alias
心念不空過,心念不空过,ent_be4a6fa2e110,1,unique_alias
心念口言,心念口言,ent_6ce613fc72a1,1,unique_alias
心念法,心念法,ent_e2c0e55becd3,1,unique_alias
心怀恋慕,心怀恋慕,ent_84a06b3dd721,1,unique_alias
心懷戀慕,心怀恋慕,ent_84a06b3dd721,1,unique_alias
心性三千,心性三千,ent_bf69439d1bda,1,unique_alias
心悟法师,心悟法师,ent_e45e25e2f607,1,unique_alias
心悟法師,心悟法师,ent_e45e25e2f607,1,unique_alias
心悟轉法華,心悟转法华,ent_325534a97942,1,unique_alias
心悟转法华,心悟转法华,ent_325534a97942,1,unique_alias
心意識,心意识,ent_3a10c1539810,1,unique_alias
心意识,心意识,ent_3a10c1539810,1,unique_alias
